,Another_nominated,Another_won,Awards,Awards_nominated,Awards_won,BAFTA_awards_nominated,BAFTA_awards_won,Golden_Globe_awards_nominated,Golden_Globe_awards_won,Movies,Oscar_awards_nominated,Oscar_awards_won,Primetime_awards_nominated,Primetime_awards_won
0,0,0,,0,0,0,0,0,0,Book of Love: The Definitive Reason Why Men Are Dogs,0,0,0,0
1,0,0,,0,0,0,0,0,0,Anderssons älskarinna,0,0,0,0
2,0,0,,0,0,0,0,0,0,Bad Blood,0,0,0,0
3,0,0,1 win & 2 nominations.,2,1,0,0,0,0,Who Are You?,0,0,0,0
4,0,0,1 win.,0,1,0,0,0,0,Skeletons in the Closet,0,0,0,0
5,0,0,1 nomination.,1,0,0,0,0,0,Cheerleader Ninjas,0,0,0,0
6,0,0,3 wins & 2 nominations.,2,3,0,0,0,0,The Girl from Paris,0,0,0,0
7,0,0,1 win & 1 nomination.,1,1,0,0,0,0,The Final Curtain,0,0,0,0
8,0,0,,0,0,0,0,0,0,Crush,0,0,0,0
9,0,0,,0,0,0,0,0,0,Happy Birthday,0,0,0,0
10,0,0,,0,0,0,0,0,0,Run Like Hell,0,0,0,0
11,0,0,5 nominations.,5,0,0,0,0,0,Crazy/Beautiful,0,0,0,0
12,0,0,,0,0,0,0,0,0,A Death in the Family,0,0,0,0
13,0,0,2 wins & 5 nominations.,5,2,0,0,0,0,The Anniversary Party,0,0,0,0
14,0,0,,0,0,0,0,0,0,Life as We Know It,0,0,0,0
15,0,13,nominated for 1 oscar. another 13 wins & 13 nominations.,13,13,0,0,0,0,The Quiet American,1,0,0,0
16,0,0,,0,0,0,0,0,0,100 Centre Street,0,0,0,0
17,0,0,,0,0,0,0,0,0,90-60-90,0,0,0,0
18,0,0,5 wins & 4 nominations.,4,5,0,0,0,0,Like Cat and Mouse,0,0,0,0
19,0,0,,0,0,0,0,0,0,The Abduction Club,0,0,0,0
20,0,0,,0,0,0,0,0,0,In Love and War,0,0,0,0
21,0,0,,0,0,0,0,0,0,The Sign of Four,0,0,0,0
22,0,0,,0,0,0,0,0,0,Adrian Mole: The Cappuccino Years,0,0,0,0
23,0,0,,0,0,0,0,0,0,Amores querer con alevosía,0,0,0,0
24,0,14,nominated for 1 golden globe. another 14 wins & 34 nominations.,34,14,0,0,1,0,Punch-Drunk Love,0,0,0,0
25,0,0,3 wins & 2 nominations.,2,3,0,0,0,0,Romeo,0,0,0,0
26,0,0,,0,0,0,0,0,0,The Kiss,0,0,0,0
27,0,0,,0,0,0,0,0,0,Avoir su...,0,0,0,0
28,0,0,1 nomination.,1,0,0,0,0,0,Academia de baile Gloria,0,0,0,0
29,0,0,,0,0,0,0,0,0,Cet amour-là,0,0,0,0
30,0,0,,0,0,0,0,0,0,The Weakest Link,0,0,0,0
31,0,0,5 nominations.,5,0,0,0,0,0,Return to Never Land,0,0,0,0
32,0,0,,0,0,0,0,0,0,Agnes,0,0,0,0
33,0,0,,0,0,0,0,0,0,All Souls,0,0,0,0
34,0,0,1 win & 2 nominations.,2,1,0,0,0,0,Better Luck Tomorrow,0,0,0,0
35,0,0,,0,0,0,0,0,0,The Life and Lyrics of Kirsty MacColl,0,0,0,0
36,0,0,,0,0,0,0,0,0,The Secret Passage: A Journey of Black Women and Depression,0,0,0,0
37,0,0,22 wins & 44 nominations.,44,22,0,0,0,0,A Grande Família,0,0,0,0
38,0,0,1 win & 3 nominations.,3,1,0,0,0,0,El lado oscuro del corazón 2,0,0,0,0
39,0,0,1 win & 8 nominations.,8,1,0,0,0,0,Slap Shot 2: Breaking the Ice,0,0,0,0
40,0,0,,0,0,0,0,0,0,25 minuten,0,0,0,0
41,0,0,,0,0,0,0,0,0,Aftershock,0,0,0,0
42,0,0,,0,0,0,0,0,0,Doppelganger,0,0,0,0
43,0,0,2 nominations.,2,0,0,0,0,0,Van Wilder: Party Liaison,0,0,0,0
44,0,0,,0,0,0,0,0,0,Abogados,0,0,0,0
45,0,0,,0,0,0,0,0,0,Passion and Prejudice,0,0,0,0
