,pub_date,year,subsection_name
0,2016-12-18T23:54:29+0000,<map object at 0x000001E6574947B8>,Pro Football
1,2016-12-18T23:54:28+0000,<map object at 0x000001E6574947B8>,Soccer
2,2016-12-18T23:48:41+0000,<map object at 0x000001E6574947B8>,College Basketball
3,2016-12-18T23:42:39+0000,<map object at 0x000001E6574947B8>,College Basketball
4,2016-12-18T23:36:36+0000,<map object at 0x000001E6574947B8>,Pro Basketball
5,2016-12-18T23:36:06+0000,<map object at 0x000001E6574947B8>,Baseball
6,2016-12-18T23:33:33+0000,<map object at 0x000001E6574947B8>,College Basketball
7,2016-12-18T23:27:37+0000,<map object at 0x000001E6574947B8>,College Basketball
8,2016-12-18T23:24:43+0000,<map object at 0x000001E6574947B8>,Pro Basketball
9,2016-12-18T23:06:33+0000,<map object at 0x000001E6574947B8>,Pro Football
