Name of Restaurants,City,Country Code,Day of Week,Start time(hour),Start time(mins),End time(hour),End time(mins)
,,,,,,,
1 Abercrombie Lane,Sydney,AU,0,7,30,15,30
,,,,,,,
1 Abercrombie Lane,Sydney,AU,1,7,30,15,30
,,,,,,,
1 Abercrombie Lane,Sydney,AU,2,7,30,15,30
,,,,,,,
1 Abercrombie Lane,Sydney,AU,3,7,30,15,30
,,,,,,,
1 Abercrombie Lane,Sydney,AU,4,7,30,15,30
,,,,,,,
10' Custom Pizzeria,Braddon,AU,0,11,30,15,0
,,,,,,,
10' Custom Pizzeria,Braddon,AU,0,17,30,0,0
,,,,,,,
10' Custom Pizzeria,Braddon,AU,1,11,30,15,0
,,,,,,,
10' Custom Pizzeria,Braddon,AU,1,17,30,0,0
,,,,,,,
10' Custom Pizzeria,Braddon,AU,2,11,30,15,0
,,,,,,,
10' Custom Pizzeria,Braddon,AU,2,17,30,0,0
,,,,,,,
10' Custom Pizzeria,Braddon,AU,3,11,30,15,0
,,,,,,,
10' Custom Pizzeria,Braddon,AU,3,17,30,0,0
,,,,,,,
10' Custom Pizzeria,Braddon,AU,4,11,30,15,0
,,,,,,,
10' Custom Pizzeria,Braddon,AU,4,17,30,0,0
,,,,,,,
10' Custom Pizzeria,Braddon,AU,5,11,30,15,0
,,,,,,,
10' Custom Pizzeria,Braddon,AU,5,17,30,0,0
,,,,,,,
10' Custom Pizzeria,Braddon,AU,6,11,30,15,0
,,,,,,,
10' Custom Pizzeria,Braddon,AU,6,17,30,0,0
,,,,,,,
11 Inch Pizza,Melbourne,AU,0,11,0,21,30
,,,,,,,
11 Inch Pizza,Melbourne,AU,1,11,0,21,30
,,,,,,,
11 Inch Pizza,Melbourne,AU,2,11,0,21,30
,,,,,,,
11 Inch Pizza,Melbourne,AU,3,11,0,21,30
,,,,,,,
11 Inch Pizza,Melbourne,AU,4,11,0,21,30
,,,,,,,
11 Inch Pizza,Melbourne,AU,5,16,30,21,30
,,,,,,,
11 Inch Pizza,Melbourne,AU,6,16,30,21,30
,,,,,,,
127 Bar and Bistro,Brisbane,AU,0,6,30,21,0
,,,,,,,
127 Bar and Bistro,Brisbane,AU,1,6,30,21,0
,,,,,,,
127 Bar and Bistro,Brisbane,AU,2,6,30,21,0
,,,,,,,
127 Bar and Bistro,Brisbane,AU,3,6,30,21,0
,,,,,,,
127 Bar and Bistro,Brisbane,AU,4,6,30,21,0
,,,,,,,
127 Bar and Bistro,Brisbane,AU,5,7,0,11,0
,,,,,,,
127 Bar and Bistro,Brisbane,AU,5,15,0,21,0
,,,,,,,
127 Bar and Bistro,Brisbane,AU,6,7,0,11,0
,,,,,,,
1806,Melbourne,AU,0,17,0,1,0
,,,,,,,
1806,Melbourne,AU,1,17,0,1,0
,,,,,,,
1806,Melbourne,AU,2,17,0,1,0
,,,,,,,
1806,Melbourne,AU,3,17,0,1,0
,,,,,,,
1806,Melbourne,AU,4,16,0,1,0
,,,,,,,
1806,Melbourne,AU,5,17,0,3,0
,,,,,,,
1806,Melbourne,AU,6,18,0,1,0
,,,,,,,
1907 Restaurant,Perth,AU,1,11,0,15,0
,,,,,,,
1907 Restaurant,Perth,AU,1,18,0,0,0
,,,,,,,
1907 Restaurant,Perth,AU,2,11,0,15,0
,,,,,,,
1907 Restaurant,Perth,AU,2,18,0,0,0
,,,,,,,
1907 Restaurant,Perth,AU,3,11,0,15,0
,,,,,,,
1907 Restaurant,Perth,AU,3,18,0,0,0
,,,,,,,
1907 Restaurant,Perth,AU,4,11,0,15,0
,,,,,,,
1907 Restaurant,Perth,AU,4,18,0,0,0
,,,,,,,
1907 Restaurant,Perth,AU,5,11,0,15,0
,,,,,,,
1907 Restaurant,Perth,AU,5,18,0,0,0
,,,,,,,
1912 Dining Bar,Sydney,AU,0,16,0,0,0
,,,,,,,
1912 Dining Bar,Sydney,AU,1,16,0,0,0
,,,,,,,
1912 Dining Bar,Sydney,AU,2,16,0,0,0
,,,,,,,
1912 Dining Bar,Sydney,AU,3,16,0,0,0
,,,,,,,
1912 Dining Bar,Sydney,AU,4,16,0,0,0
,,,,,,,
1912 Dining Bar,Sydney,AU,5,16,0,0,0
,,,,,,,
259 Cafe,Perth,AU,0,10,0,15,0
,,,,,,,
259 Cafe,Perth,AU,2,10,0,15,0
,,,,,,,
259 Cafe,Perth,AU,3,10,0,15,0
,,,,,,,
259 Cafe,Perth,AU,4,10,0,15,0
,,,,,,,
259 Cafe,Perth,AU,5,9,0,15,0
,,,,,,,
259 Cafe,Perth,AU,6,9,0,15,0
,,,,,,,
3 Wise Monkeys Pub,Sydney,AU,0,10,0,4,0
,,,,,,,
3 Wise Monkeys Pub,Sydney,AU,1,10,0,4,0
,,,,,,,
3 Wise Monkeys Pub,Sydney,AU,2,10,0,4,0
,,,,,,,
3 Wise Monkeys Pub,Sydney,AU,3,10,0,4,0
,,,,,,,
3 Wise Monkeys Pub,Sydney,AU,4,10,0,5,0
,,,,,,,
3 Wise Monkeys Pub,Sydney,AU,5,10,0,5,0
,,,,,,,
3 Wise Monkeys Pub,Sydney,AU,6,10,0,4,0
,,,,,,,
360 Bar and Restaurant,Sydney,AU,0,12,0,14,30
,,,,,,,
360 Bar and Restaurant,Sydney,AU,0,16,30,23,0
,,,,,,,
360 Bar and Restaurant,Sydney,AU,1,12,0,14,30
,,,,,,,
360 Bar and Restaurant,Sydney,AU,1,16,30,23,0
,,,,,,,
360 Bar and Restaurant,Sydney,AU,2,12,0,14,30
,,,,,,,
360 Bar and Restaurant,Sydney,AU,2,16,30,23,0
,,,,,,,
360 Bar and Restaurant,Sydney,AU,3,12,0,14,30
,,,,,,,
360 Bar and Restaurant,Sydney,AU,3,16,30,23,0
,,,,,,,
360 Bar and Restaurant,Sydney,AU,4,12,0,14,30
,,,,,,,
360 Bar and Restaurant,Sydney,AU,4,16,30,0,0
,,,,,,,
360 Bar and Restaurant,Sydney,AU,5,16,30,0,0
,,,,,,,
360 Bar and Restaurant,Sydney,AU,6,16,30,0,0
,,,,,,,
38 Espresso,Kingston,AU,0,7,0,15,0
,,,,,,,
38 Espresso,Kingston,AU,1,7,0,15,0
,,,,,,,
38 Espresso,Kingston,AU,2,7,0,15,0
,,,,,,,
38 Espresso,Kingston,AU,3,7,0,15,0
,,,,,,,
38 Espresso,Kingston,AU,4,7,0,15,0
,,,,,,,
38 Espresso,Kingston,AU,5,7,0,15,0
,,,,,,,
38 Espresso,Kingston,AU,6,8,0,15,0
,,,,,,,
+39 Pizzeria,Melbourne,AU,0,12,0,15,0
,,,,,,,
+39 Pizzeria,Melbourne,AU,0,17,0,21,30
,,,,,,,
+39 Pizzeria,Melbourne,AU,1,12,0,15,0
,,,,,,,
+39 Pizzeria,Melbourne,AU,1,17,0,21,30
,,,,,,,
+39 Pizzeria,Melbourne,AU,2,12,0,15,0
,,,,,,,
+39 Pizzeria,Melbourne,AU,2,17,0,21,30
,,,,,,,
+39 Pizzeria,Melbourne,AU,3,12,0,15,0
,,,,,,,
+39 Pizzeria,Melbourne,AU,3,17,0,21,30
,,,,,,,
+39 Pizzeria,Melbourne,AU,4,12,0,22,0
,,,,,,,
+39 Pizzeria,Melbourne,AU,5,12,0,22,0
,,,,,,,
+39 Pizzeria,Melbourne,AU,6,12,0,21,30
,,,,,,,
4Fourteen,Surry Hills,AU,1,12,0,15,0
,,,,,,,
4Fourteen,Surry Hills,AU,1,18,0,0,0
,,,,,,,
4Fourteen,Surry Hills,AU,2,12,0,15,0
,,,,,,,
4Fourteen,Surry Hills,AU,2,18,0,0,0
,,,,,,,
4Fourteen,Surry Hills,AU,3,12,0,15,0
,,,,,,,
4Fourteen,Surry Hills,AU,3,18,0,0,0
,,,,,,,
4Fourteen,Surry Hills,AU,4,12,0,15,0
,,,,,,,
4Fourteen,Surry Hills,AU,4,18,0,0,0
,,,,,,,
4Fourteen,Surry Hills,AU,5,12,0,15,0
,,,,,,,
4Fourteen,Surry Hills,AU,5,18,0,0,0
,,,,,,,
4Fourteen,Surry Hills,AU,6,12,0,18,0
,,,,,,,
5 & Dime Bagels,Melbourne,AU,0,7,0,14,30
,,,,,,,
5 & Dime Bagels,Melbourne,AU,1,7,0,14,30
,,,,,,,
5 & Dime Bagels,Melbourne,AU,2,7,0,14,30
,,,,,,,
5 & Dime Bagels,Melbourne,AU,3,7,0,14,30
,,,,,,,
5 & Dime Bagels,Melbourne,AU,4,7,0,14,30
,,,,,,,
5 Boroughs,Brisbane,AU,0,11,0,21,0
,,,,,,,
5 Boroughs,Brisbane,AU,1,11,0,21,0
,,,,,,,
5 Boroughs,Brisbane,AU,2,11,0,21,0
,,,,,,,
5 Boroughs,Brisbane,AU,3,11,0,21,0
,,,,,,,
5 Boroughs,Brisbane,AU,4,11,0,22,0
,,,,,,,
5 Boroughs,Brisbane,AU,5,11,0,22,0
,,,,,,,
5 Boroughs,Brisbane,AU,6,11,0,21,0
,,,,,,,
580 Bench,Melbourne,AU,0,7,0,16,0
,,,,,,,
580 Bench,Melbourne,AU,1,7,0,16,0
,,,,,,,
580 Bench,Melbourne,AU,2,7,0,16,0
,,,,,,,
580 Bench,Melbourne,AU,3,7,0,16,0
,,,,,,,
580 Bench,Melbourne,AU,4,7,0,16,0
,,,,,,,
62 Rokujuni,Sydney,AU,0,11,0,15,0
,,,,,,,
62 Rokujuni,Sydney,AU,0,18,0,21,0
,,,,,,,
62 Rokujuni,Sydney,AU,1,11,0,15,0
,,,,,,,
62 Rokujuni,Sydney,AU,1,18,0,21,0
,,,,,,,
62 Rokujuni,Sydney,AU,2,11,0,15,0
,,,,,,,
62 Rokujuni,Sydney,AU,2,18,0,21,0
,,,,,,,
62 Rokujuni,Sydney,AU,3,11,0,15,0
,,,,,,,
62 Rokujuni,Sydney,AU,3,18,0,21,0
,,,,,,,
62 Rokujuni,Sydney,AU,4,11,0,15,0
,,,,,,,
62 Rokujuni,Sydney,AU,4,18,0,21,0
,,,,,,,
