Word,Rank,Frequency
the,1,6386
of,2,2861
and,3,2186
to,4,2144
a,5,2130
in,6,2020
for,7,969
that,8,829
is,9,733
was,10,717
on,11,691
he,12,642
at,13,636
with,14,567
be,15,526
as,16,517
by,17,504
it,18,478
his,19,428
said,20,406
will,21,389
from,22,353
are,23,330
this,24,320
an,25,311
has,26,301
but,27,283
had,28,281
who,29,268
they,30,267
have,31,265
not,32,257
were,33,252
would,34,246
which,35,245
new,36,241
their,37,231
one,38,213
been,39,212
there,40,189
more,41,183
all,42,181
i,43,179
its,44,178
last,45,177
two,46,174
or,47,174
when,48,169
up,49,168
other,50,164
out,51,162
first,52,158
state,53,153
after,54,151
about,55,147
year,56,142
president,57,142
than,58,138
home,59,132
also,60,129
her,61,121
no,62,120
over,63,119
into,64,115
some,65,113
only,66,111
made,67,107
we,68,107
if,69,103
government,70,103
time,71,103
years,72,102
three,73,101
house,74,97
them,75,96
what,76,95
week,77,94
can,78,94
any,79,94
city,80,93
may,81,93
him,82,93
before,83,93
under,84,91
school,85,87
could,86,87
now,87,87
learned,88,87
four,89,82
so,90,81
most,91,81
against,92,78
she,93,77
day,94,76
committee,95,75
man,96,74
such,97,74
each,98,74
members,99,74
both,100,73
off,101,73
back,102,73
then,103,73
national,104,72
many,105,72
here,106,72
these,107,70
university,108,70
bill,109,69
high,110,68
get,111,68
since,112,67
american,113,67
work,114,67
you,115,66
program,116,66
those,117,66
kennedy,118,66
john,119,65
night,120,65
did,121,64
board,122,64
do,123,64
meeting,124,62
administration,125,62
even,126,61
per,127,61
county,128,61
should,129,61
during,130,60
states,131,60
our,132,60
where,133,59
public,134,58
united,135,58
tax,136,58
news,137,58
white,138,57
being,139,57
service,140,57
people,141,56
yesterday,142,56
through,143,56
court,144,55
because,145,55
while,146,55
today,147,55
club,148,55
monday,149,54
must,150,53
told,151,53
without,152,53
sales,153,52
family,154,52
company,155,52
york,156,52
federal,157,52
much,158,51
down,159,51
good,160,51
game,161,51
cent,162,51
sunday,163,51
set,164,51
car,165,50
take,166,50
dallas,167,49
system,168,49
just,169,49
however,170,49
between,171,48
washington,172,48
texas,173,48
miss,174,48
like,175,48
lore,176,48
took,177,47
children,178,47
way,179,47
men,180,47
mantle,181,47
long,182,46
education,183,46
another,184,46
jury,185,46
world,186,46
plan,187,46
five,188,45
million,189,45
got,190,45
local,191,45
business,192,45
make,193,44
tuesday,194,43
group,195,43
my,196,43
chairman,197,43
season,198,43
well,199,43
party,200,43
general,201,43
held,202,43
play,203,42
palmer,204,42
big,205,42
how,206,42
months,207,42
go,208,42
special,209,42
own,210,41
young,211,41
election,212,41
friday,213,41
came,214,41
next,215,41
see,216,40
expected,217,40
police,218,40
march,219,40
days,220,40
second,221,40
hospital,222,40
law,223,40
center,224,40
area,225,40
several,226,39
judge,227,39
case,228,39
problem,229,39
asked,230,39
left,231,39
among,232,39
schools,233,38
library,234,38
never,235,38
little,236,38
called,237,38
early,238,38
democratic,239,38
might,240,38
laos,241,38
still,242,38
given,243,38
college,244,38
ball,245,37
league,246,37
went,247,37
foreign,248,37
player,249,37
session,250,37
announced,251,37
james,252,37
later,253,37
along,254,37
third,255,37
too,256,37
same,257,37
ago,258,36
council,259,36
hobbies,260,36
international,261,36
william,262,36
north,263,36
maris,264,36
hit,265,35
very,266,35
union,267,35
past,268,35
run,269,35
wife,270,35
record,271,35
member,272,35
association,273,34
began,274,34
director,275,34
old,276,34
top,277,34
senate,278,34
give,279,34
labor,280,33
saturday,281,33
pay,282,33
right,283,33
place,284,33
until,285,33
annual,286,33
show,287,33
received,288,33
open,289,33
total,290,33
great,291,33
team,292,33
church,293,33
added,294,33
district,295,32
month,296,32
equipment,297,32
department,298,32
number,299,32
eight,300,32
firm,301,32
end,302,32
interest,303,32
field,304,32
use,305,32
again,306,32
ever,307,32
secretary,308,32
come,309,32
part,310,31
country,311,31
help,312,31
best,313,31
military,314,31
industry,315,31
need,316,31
me,317,31
far,318,31
issue,319,31
congo,320,31
fiction,321,31
result,322,31
taken,323,30
around,324,30
central,325,30
present,326,30
major,327,30
few,328,30
laws,329,30
found,330,30
money,331,30
street,332,30
aid,333,30
runs,334,30
soviet,335,29
six,336,29
bonds,337,29
series,338,29
better,339,29
hotel,340,29
late,341,29
romance,342,29
communist,343,29
funds,344,29
adventure,345,29
possible,346,29
start,347,29
reported,348,28
political,349,28
higher,350,28
know,351,28
robert,352,28
staff,353,28
meet,354,28
vote,355,28
put,356,28
office,357,28
former,358,28
every,359,28
small,360,28
countries,361,28
says,362,28
war,363,27
act,364,27
baseball,365,27
mystery,366,27
stock,367,27
together,368,27
report,369,27
richard,370,27
editorial,371,27
enough,372,27
think,373,27
fire,374,27
daughter,375,26
conference,376,26
needed,377,26
weeks,378,26
does,379,26
market,380,26
project,381,26
future,382,26
republican,383,26
single,384,25
nations,385,25
fact,386,25
persons,387,25
point,388,25
minutes,389,25
earlier,390,25
attorney,391,25
making,392,25
course,393,25
increase,394,25
khrushchev,395,25
paid,396,25
used,397,25
including,398,25
away,399,25
large,400,25
almost,401,25
east,402,25
games,403,24
head,404,24
students,405,24
done,406,24
control,407,24
decided,408,24
won,409,24
support,410,24
real,411,24
british,412,24
collection,413,24
son,414,24
able,415,24
leader,416,24
provide,417,24
hours,418,23
toward,419,23
community,420,23
yards,421,23
portland,422,23
victory,423,23
room,424,23
final,425,23
become,426,23
george,427,23
upon,428,23
according,429,23
statement,430,23
say,431,23
dinner,432,23
leaders,433,23
defense,434,23
catholic,435,23
yankees,436,23
effort,437,23
west,438,23
army,439,22
headquarters,440,22
services,441,22
libraries,442,22
hughes,443,22
san,444,22
policy,445,22
chicago,446,22
charles,447,22
plans,448,22
farm,449,22
although,450,22
order,451,22
legislature,452,22
junior,453,22
social,454,22
traffic,455,22
town,456,22
line,457,22
matter,458,22
question,459,22
jones,460,22
bob,461,22
wednesday,462,22
efforts,463,22
once,464,22
whose,465,22
action,466,22
gave,467,22
going,468,22
frank,469,22
individual,470,21
income,471,21
smith,472,21
thomas,473,21
congress,474,21
relations,475,21
billion,476,21
premier,477,21
manager,478,21
tomorrow,479,21
trial,480,21
period,481,21
race,482,21
chief,483,21
rather,484,21
himself,485,21
resolution,486,21
south,487,21
within,488,21
brought,489,21
student,490,21
avenue,491,21
became,492,20
rules,493,20
others,494,20
thursday,495,20
attack,496,20
involved,497,20
full,498,20
machinery,499,20
times,500,20
recent,501,20
air,502,20
wanted,503,20
rule,504,20
football,505,20
history,506,20
look,507,20
playing,508,20
probably,509,20
women,510,20
started,511,20
life,512,20
fine,513,20
kind,514,20
private,515,20
april,516,20
belgians,517,20
drive,518,19
prices,519,19
afternoon,520,19
award,521,19
costs,522,19
organization,523,19
development,524,19
health,525,19
medical,526,19
society,527,19
force,528,19
hand,529,19
governor,530,19
coach,531,19
certain,532,19
shares,533,19
played,534,19
themselves,535,19
feel,536,19
half,537,19
power,538,19
coming,539,19
return,540,19
research,541,19
nine,542,19
fund,543,19
mayor,544,19
blue,545,19
problems,546,19
face,547,19
island,548,19
grand,549,19
gin,550,18
passed,551,18
similar,552,18
executive,553,18
boy,554,18
economic,555,18
complete,556,18
kowalski,557,18
corps,558,18
worth,559,18
golf,560,18
care,561,18
bills,562,18
already,563,18
amount,564,18
lines,565,18
led,566,18
cases,567,18
bring,568,18
indicated,569,18
jack,570,18
officers,571,18
means,572,18
getting,573,18
further,574,18
turn,575,18
reason,576,18
necessary,577,18
whether,578,18
cars,579,18
henry,580,18
building,581,18
park,582,18
proposed,583,18
religion,584,18
hole,585,18
front,586,18
hill,587,18
battle,588,18
plane,589,18
cut,590,18
joseph,591,18
georgia,592,18
opening,593,18
music,594,18
least,595,18
charge,596,18
guests,597,18
companies,598,18
security,599,17
sent,600,17
hour,601,17
campaign,602,17
situation,603,17
soon,604,17
neither,605,17
demand,606,17
seven,607,17
property,608,17
green,609,17
martin,610,17
saw,611,17
yet,612,17
